Brand,Nama Produk,Harga Asli,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
Nike,Downshifter 13 Shoes,Rp 899.000,,-20%,https://www.zalora.co.id/p/nike-downshifter-13-shoes-grey-4904364,https://dynamic.zacdn.com/invSYt7a4qbtIF7WPAMmGd_R-k8=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2865-4634094-1.jpg,": Textile, Synthetic",: Textile,: Rubber,: Tali
Nike,G.T. Jump Academy EP Basketball Shoes,Rp 1.254.140,,,https://www.zalora.co.id/p/nike-g-t-jump-academy-ep-basketball-shoes-multi-4999974,https://dynamic.zacdn.com/dptoRD3aelm8tox4rYL_Wt85e_I=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7496-4799994-1.jpg,: Textile,: Textile,: Rubber,-
Nike,Men's Air Force 1 '07 Shoes,Rp 1.549.000,,,https://www.zalora.co.id/p/nike-men-s-air-force-1-07-shoes-white-3603323,https://dynamic.zacdn.com/SzteP8FKn145jv-SYorh_47XRuQ=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2198-3233063-1.jpg,: Synthetic,: Textile,: Rubber,: Tali
Nike,Pacific Shoes,Rp 1.149.000,Rp 861.750,-25%,https://www.zalora.co.id/p/nike-pacific-shoes-multi-4905541,https://dynamic.zacdn.com/Xra2Y-KGJiBDN_ZdCfWAjZujmPY=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3614-1455094-1.jpg,: Textile/Suede,: Textile,: Rubber,-
Nike,Vomero 18 Road Running Shoes,Rp 2.249.000,,,https://www.zalora.co.id/p/nike-vomero-18-road-running-shoes-white-4788465,https://dynamic.zacdn.com/CAjNTLAg5q6-CORWE-17-AnAXF0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5703-5648874-1.jpg,: Engineered Mesh,: Textile,: Rubber,: Tali
Nike,Court Vision Alta Shoes,Rp 1.099.000,,-35%,https://www.zalora.co.id/p/nike-court-vision-alta-shoes-white-3074256,https://dynamic.zacdn.com/kAS7LZ3Mv23cXrWDX4Mk6SS2EOk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-9220-6524703-1.jpg,: Leather,: Textile,: Rubber,-
Nike,Waffle Debut Shoes,Rp 1.020.540,,,https://www.zalora.co.id/p/nike-waffle-debut-shoes-white-3757826,https://dynamic.zacdn.com/h_dhA-ZxQKOmWtu0-AAmkWfL50Y=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2663-6287573-1.jpg,: Polyurethane,: Textile,: Rubber,-
Nike,Juniper Trail 3 Trail Running Shoes,Rp 1.370.940,,,https://www.zalora.co.id/p/nike-juniper-trail-3-trail-running-shoes-multi-5000002,https://dynamic.zacdn.com/cBl8sZvG_okpi-tZQ7fjMgWHjYA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7352-2000005-1.jpg,: Mesh,: Textile,: Rubber,-
Nike,Journey Run Shoes,Rp 1.399.000,,,https://www.zalora.co.id/p/nike-journey-run-shoes-white-4472952,https://dynamic.zacdn.com/LpyKCtmnraYhnh086T8-WOL5on8=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1458-2592744-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,Court Vision Low Next Nature Shoes,Rp 799.000,,,https://www.zalora.co.id/p/nike-court-vision-low-next-nature-shoes-grey-4473066,https://dynamic.zacdn.com/wUqxvYfjo4JxDe8zQbZh1n6U_d4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5290-6603744-1.jpg,: Polyurethane,: Textile,: Rubber,: Tali
